project_id,name,country,category,registry,status,volume_disponivel,total_emitido,total_aposentado
CAR785,Dubuque Metropolitan Sanitary Landfill,United States,ghg-management,climate-action-reserve,completed,54827.0,216586.0,161759.0
ACR632,Anew - Eagle Mountain Forestry Project,United States,forest,american-carbon-registry,registered,54825.0,96635.0,41810.0
GLD3409,Saritepe Wind Power Plant,Türkiye,renewable-energy,gold-standard,unknown,54509.0,128325.0,73816.0
CAR1744,Carbono Forestal La Norteñita,Mexico,forest,climate-action-reserve,registered,54465.0,98111.0,43646.0
GLD10968,Community Carbon Safe Water Drinking Programme-VPA2,Uganda,energy-efficiency,gold-standard,unknown,54412.0,54519.0,107.0
VCS4511,Silvador Climate Action,Romania,forest,verra,registered,54285.0,54285.0,0.0
GLD1042,Ceará Renewable Energy Bundled Project,Brazil,fuel-switching,gold-standard,unknown,54256.0,331810.0,277554.0
VCS1060,Bethlehem Authority Improved Forest Management Project,United States,forest,verra,registered,54192.0,163558.0,109366.0
GLD2535,Tailai Tangchi Solar PV Power Generation Project,China,renewable-energy,gold-standard,unknown,54155.0,63293.0,9138.0
VCS4288,Brascarbon Methane Recovery Project BCA-BRA-18,Brazil,ghg-management,verra,unknown,54112.0,54112.0,0.0
GLD3372,Nam Nga 2 Hydropower Project,Laos,renewable-energy,gold-standard,unknown,53837.0,53837.0,0.0
VCS3308,Dongyuan Xiantang Landfill Gas Power Generation Phase I Project,China,ghg-management,verra,registered,53788.0,56564.0,2776.0
ACR671,Tradewater ODS 43,United States,ghg-management,american-carbon-registry,completed,53725.0,73042.0,19317.0
ACR683,Anew - McCoy Forestry Project,United States,forest,american-carbon-registry,registered,53723.0,53723.0,0.0
GLD11327,Congo (DRC) Improved Cook Stoves VPA 003– Ngaliema,DR Congo,fuel-switching,gold-standard,unknown,53702.0,53702.0,0.0
GLD11262,Improved Cookstove and Safe Water Programme – Nigeria – VPA 04,Nigeria,energy-efficiency,gold-standard,unknown,53265.0,144040.0,90775.0
GLD11910,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 10,Malawi,fuel-switching,gold-standard,unknown,53246.0,53246.0,0.0
ACR903,Tradewater - Thailand 4,Thailand,ghg-management,american-carbon-registry,completed,53216.0,189561.0,136345.0
GLD6604,Energy efficiency improvement project leading to multiple sustainable development impacts.,Uganda,fuel-switching,gold-standard,unknown,53083.0,124469.0,71386.0
VCS1918,Paradigm Kenya Clean Cookstoves Project,Kenya,fuel-switching,verra,registered,52976.0,308825.0,255849.0
ACR542,Orient 6 Abandoned Mine Methane Recovery Project,United States,ghg-management,american-carbon-registry,active,52964.0,85622.0,32658.0
GLD6111,Improved Cookstoves Project Activity in Honduras “Vida Mejor con Ecofogones de Alto Rendimiento” – CPA No 004,Honduras,fuel-switching,gold-standard,unknown,52900.0,98925.0,46025.0
CAR1298,Adirondack Farms,United States,ghg-management,climate-action-reserve,registered,52832.0,73037.0,20205.0
VCS2259,Royal Dairy Solid Separation Enhanced by Vermicomposting,United States,ghg-management,verra,registered,52788.0,152401.0,99613.0
GLD11914,GS11677 GS11902 Malawi Biomass Energy Conservation Programme CPA 14,Malawi,fuel-switching,gold-standard,unknown,52694.0,52694.0,0.0
VCS2565,Yunnan Qiubei Afforestation Project,China,forest,verra,registered,52688.0,53305.0,617.0
ACR761,Federal 2 Abandoned Mine Methane Recovery Project,United States,ghg-management,american-carbon-registry,active,52380.0,436803.0,384423.0
VCS1500,Reis Enerji Grouped HEPP Project,Türkiye,renewable-energy,verra,registered,52349.0,65074.0,12725.0
ACR431,Tradewater ODS 15,United States,ghg-management,american-carbon-registry,completed,52322.0,52322.0,0.0
VCS3556,Grouped Rooftop Solar Project by Tata Power Renewable Energy Limited,India,renewable-energy,verra,registered,52309.0,52309.0,0.0
ACR530,Advanced Refrigeration CAL - ARS 003B,United States,ghg-management,american-carbon-registry,completed,52251.0,52251.0,0.0
CAR1092,Big Valley,United States,forest,climate-action-reserve,completed,52124.0,52124.0,0.0
VCS2745,Wuwei City Afforestation Project in Gansu Province,China,forest,verra,registered,52108.0,61108.0,9000.0
VCS4289,Brascarbon Methane Recovery Project BCA-BRA-19,Brazil,ghg-management,verra,unknown,52007.0,52007.0,0.0
CAR1204,Finite Carbon - AMC Silver Lake IFM,United States,forest,climate-action-reserve,registered,51987.0,172304.0,120317.0
ACR496,A-Gas 2019-Misc,United States,ghg-management,american-carbon-registry,completed,51610.0,51610.0,0.0
CAR635,Hancock County Landfill Gas Collection Project,United States,ghg-management,climate-action-reserve,registered,51518.0,962569.0,911051.0
ACR639,Anew - Northeast Kingdom Forestry Project,United States,forest,american-carbon-registry,registered,51382.0,52239.0,857.0
GLD2468,ORTAMANDIRA WPP,Türkiye,renewable-energy,gold-standard,unknown,51252.0,140937.0,89685.0
