project_id,name,country,category,registry,status,volume_disponivel,total_emitido,total_aposentado,vintage,idade_estimada,fator_status,fator_volume,fator_volume_norm,idade_norm,fator_idade_norm,opportunity_score
CAR1205,Finite Carbon - Lyme Logan IFM,United States,forest,climate-action-reserve,registered,1589431.0,3437744.0,1848313.0,2020.0,5.0,1.0,1589431.0,0.03913543536244836,0.17391304347826086,0.8260869565217391,0.6421754132174302
VCS1446,Sichuan Furong Coal Mine Methane Utilization Project,China,ghg-management,verra,registered,1564344.0,2792506.0,1228162.0,2020.0,5.0,1.0,1564344.0,0.038517735127371645,0.17391304347826086,0.8260869565217391,0.6419901031469072
CAR1139,Usal Redwood Forest - IFM,United States,forest,climate-action-reserve,registered,1559932.0,2411328.0,851396.0,2020.0,5.0,1.0,1559932.0,0.03840910143513429,0.17391304347826086,0.8260869565217391,0.641957513039236
VCS2342,Installation of high efficiency wood burning cookstoves in Malawi,Malawi,fuel-switching,verra,registered,1547108.0,2803221.0,1256113.0,2020.0,5.0,1.0,1547108.0,0.03809334475579345,0.17391304347826086,0.8260869565217391,0.6418627860354338
VCS2020,250 MW Wind Power Project by Mytrah Energy,India,renewable-energy,verra,registered,1531028.0,1564444.0,33416.0,2020.0,5.0,1.0,1531028.0,0.03769741779043157,0.17391304347826086,0.8260869565217391,0.6417440079458252
VCS92,300MW Hydropower project by JHPL,India,renewable-energy,verra,registered,3861058.0,11997232.0,8136174.0,2019.0,6.0,1.0,3861058.0,0.0950681707196694,0.21739130434782608,0.782608695652174,0.6415639294767703
CAR1105,American Soda LLC Waste Mine Methane Project,United States,ghg-management,climate-action-reserve,registered,1431249.0,2341211.0,909962.0,2020.0,5.0,1.0,1431249.0,0.03524062695231943,0.17391304347826086,0.8260869565217391,0.6410069706943915
VCS1736,Grid connected electricity generation plant using natural gas at Jurong Island in Singapore,Singapore,fuel-switching,verra,registered,1425614.0,1659441.0,233827.0,2020.0,5.0,1.0,1425614.0,0.03510188015817676,0.17391304347826086,0.8260869565217391,0.6409653466561487
VCS487,"210 MW Musi Hydro Power Plant, Bengkulu",Indonesia,renewable-energy,verra,registered,1415215.0,5470145.0,4054930.0,2020.0,5.0,1.0,1415215.0,0.034845832613848514,0.17391304347826086,0.8260869565217391,0.6408885323928502
VCS2458,Guoluo Grassland Sustainable Management Project,China,land-use,verra,registered,1413859.0,2593172.0,1179313.0,2020.0,5.0,1.0,1413859.0,0.03481244474288889,0.17391304347826086,0.8260869565217391,0.6408785160315623
VCS2292,Guizhou Panjiang Low Concentration Coal Mine Methane Power Generation Project Phase 3,China,ghg-management,verra,registered,1305475.0,1346326.0,40851.0,2020.0,5.0,1.0,1305475.0,0.03214377880919597,0.17391304347826086,0.8260869565217391,0.6400779162514545
VCS2059,Renewable Solar Power Project by Mahindra Renewables Private Limited,India,renewable-energy,verra,registered,1240608.0,1355158.0,114550.0,2020.0,5.0,1.0,1240608.0,0.030546602536675505,0.17391304347826086,0.8260869565217391,0.6395987633696983
VCS1805,Solar Energy Project(s) by SB Energy Private Limited,India,renewable-energy,verra,registered,3592115.0,9446114.0,5853999.0,2019.0,6.0,1.0,3592115.0,0.08844616911237335,0.21739130434782608,0.782608695652174,0.6395773289945816
CAR1339,Humboldt Mixed Forest Improvement Project,United States,forest,climate-action-reserve,registered,1206816.0,3221412.0,2014596.0,2020.0,5.0,1.0,1206816.0,0.029714564973646357,0.17391304347826086,0.8260869565217391,0.6393491521007896
VCS1686,Agrocortex REDD Project,Brazil,forest,verra,registered,1194092.0,2692244.0,1498152.0,2020.0,5.0,1.0,1194092.0,0.029401270526677167,0.17391304347826086,0.8260869565217391,0.6392551637666988
VCS1464,Alkumru Hydroelectric Power Plant,Türkiye,renewable-energy,verra,registered,1162647.0,4027334.0,2864687.0,2020.0,5.0,1.0,1162647.0,0.028627021557410728,0.17391304347826086,0.8260869565217391,0.6390228890759189
VCS1408,Chyulu Hills REDD+ Project,Kenya,forest,verra,registered,1089182.0,5172697.0,4083515.0,2020.0,5.0,1.0,1089182.0,0.02681814254557549,0.17391304347826086,0.8260869565217391,0.6384802253723683
VCS2636,Eastern DRC Cookstove Project - South Kivu,DR Congo,fuel-switching,verra,registered,1083927.0,1273827.0,189900.0,2020.0,5.0,1.0,1083927.0,0.0266887522344451,0.17391304347826086,0.8260869565217391,0.6384414082790293
ACR596,Anew - Boone Forestry Project,United States,forest,american-carbon-registry,registered,1062307.0,1377328.0,315021.0,2020.0,5.0,1.0,1062307.0,0.026156417595693614,0.17391304347826086,0.8260869565217391,0.6382817078874037
VCS1447,199.70 MW Wind Project in Maharashtra by BWDPL,India,renewable-energy,verra,registered,1036397.0,2764745.0,1728348.0,2020.0,5.0,1.0,1036397.0,0.025518453188198193,0.17391304347826086,0.8260869565217391,0.6380903185651552
VCS1812,VTRM Renewable Energy,Brazil,renewable-energy,verra,registered,1029712.0,2853360.0,1823648.0,2020.0,5.0,1.0,1029712.0,0.02535385295415316,0.17391304347826086,0.8260869565217391,0.6380409384949417
